variable,mean,sd,rhat,ess_bulk
"gamma_cov[1,1]",-0.0355518016705,0.0115964946601574,0.999841925149558,2482.96639638527
"gamma_cov[2,1]",-0.3671406825,0.0131182147091416,1.00238955913132,2788.41200370895
"gamma_cov[3,1]",1.20533494035,0.0117165028214245,0.999679852570683,2788.6530494891
"gamma_cov[4,1]",-0.134249615912,0.0162839447979446,1.00126596262493,2029.54359866724
"gamma_cov[5,1]",-0.21187231731,0.0172091119289603,1.00067175452186,2858.76561606047
"gamma_cov[6,1]",-0.460317912285,0.011442622436159,1.00375662646148,3707.27540567849
"gamma_cov[7,1]",-0.0987739461455,0.0110800244685388,1.0001460154854,3260.80869155761
"gamma_cov[8,1]",-0.367842091865,0.0114675046399119,1.00174688251374,2565.55224037846
"gamma_cov[9,1]",0.2232117953,0.0103725571089202,1.0012893939832,3240.46018501144
"gamma_cov[1,2]",-0.393404180945,0.0108645406791229,1.00100200640708,2497.97768934002
"gamma_cov[2,2]",0.59923290041,0.0128191680658998,1.0005209798478,2614.30928577094
"gamma_cov[3,2]",-1.2720784333,0.0120582854914626,1.00141540407341,2714.35952095062
"gamma_cov[4,2]",-0.0863116278605,0.0158326353149806,1.00045407423116,2049.08406423239
"gamma_cov[5,2]",0.497976867645,0.0161408658303941,1.00385497828089,3085.34776780668
"gamma_cov[6,2]",0.55395490836,0.0112184851990356,1.00867558847908,3365.26627942386
"gamma_cov[7,2]",-0.18482456696,0.0111814119530497,1.00141540936,3568.58214068823
"gamma_cov[8,2]",0.656922670175,0.0112871935940153,1.00082739350519,2753.85964662204
"gamma_cov[9,2]",-0.311123570855,0.0103014961060127,1.00130305095997,2889.64626747302
"gamma_cov[1,3]",0.145898426455,0.00645898230602067,1.00097419565893,2892.51811077635
"gamma_cov[2,3]",0.043850192962,0.00714656996850302,1.0010893343041,2857.4428849128
"gamma_cov[3,3]",0.0488805968615,0.00675379697692899,0.999632165580419,2945.42144485704
"gamma_cov[4,3]",0.0078958267801574,0.00878708833913084,1.00130560607829,3035.27118934638
"gamma_cov[5,3]",-0.231997234635,0.0104998759759755,0.999203245914784,3290.31944030286
"gamma_cov[6,3]",-0.0330041085115,0.00659860682988017,1.00104297149517,3671.31790173043
"gamma_cov[7,3]",0.068573317938,0.00647778532930867,1.00115540594031,3144.26439021231
"gamma_cov[8,3]",-0.10517680748,0.00699174369717471,1.00293782773982,3383.08207212957
"gamma_cov[9,3]",0.0091234639398805,0.00613662389481501,0.999639318867561,3385.51324725736
"gamma_cov[1,4]",0.167413851795,0.00491160909392925,1.00050108865642,2632.56767473031
"gamma_cov[2,4]",0.042876498476,0.00578491287306446,1.0008220114598,2646.07092256723
"gamma_cov[3,4]",0.19600731911,0.00509826786312814,1.000102926601,2993.35420964427
"gamma_cov[4,4]",-0.093573211612,0.00657161613488642,1.00000096014242,3207.00044348118
"gamma_cov[5,4]",-0.0666243886755,0.00636855254501747,1.00018403888446,3124.3795215791
"gamma_cov[6,4]",-0.1037775474375,0.00433556110032324,1.0015555505912,2558.67402083827
"gamma_cov[7,4]",0.188061150825,0.00502651867603133,0.999531308070121,3073.30644993921
"gamma_cov[8,4]",-0.033875523341,0.0053355096144593,1.00287075705229,2979.77747742756
"gamma_cov[9,4]",-0.00792253508527825,0.00440681274164923,1.00063625854095,2716.10037399402
gamma_int[1],0.24504129849284,0.176877880239716,1.00132445338778,1098.41925343863
gamma_int[2],0.274694195977997,0.189729011963499,1.00078691441982,1193.45864834168
gamma_int[3],-0.194234577044099,0.219825617246438,1.00132373729325,1289.67217468082
gamma_int[4],0.033793485335639,0.245159209683635,1.00256928681586,1570.81023385354
gamma_int[5],-0.57417534413715,0.169680132361405,1.00199218895947,1556.81834205999
gamma_int[6],-0.260763487779395,0.166042732725223,1.00083961548137,1670.60107532006
gamma_int[7],0.1009419068787,0.17444833274014,1.00532625758377,1300.59685847786
gamma_int[8],-0.205575973792185,0.192885080412362,1.00159237335833,1110.80222015343
gamma_int[9],0.0616702689210115,0.173652829325633,1.00103514915977,1304.24839883323
b[1],0.000599206893815,0.485262532500921,0.998732653558102,3999.99882906709
b[2],0.0048519757214575,0.502384429182264,1.00669813841808,3802.72099498922
b[3],-0.0025922419188865,0.491715362112964,1.00707811633818,4667.98160811517
b[4],0.00202872487963,0.48043070678007,1.00212880630371,5146.72345678159
sigma_alpha,1.031362718345,0.124474207090189,1.00282664244646,1194.91597293906
